|11|0|NA|NA|NA
jpgs\s1.jpg|1|1|Northwest|United States|North America
jpgs\s2.jpg|2|2|Northeast|United States|North America
jpgs\s3.jpg|3|3|Central|United States|North America
jpgs\s4.jpg|4|4|Southwest|United States|North America
jpgs\s5.jpg|5|5|Southeast|United States|North America
jpgs\s6.jpg|6|6|Canada|Canada|North America
jpgs\s7.jpg|7|7|France|France|Europe
jpgs\s8.jpg|8|8|Germany|Germany|Europe
jpgs\s9.jpg|9|9|Australia|Australia|Pacific
jpgs\s10.jpg|10|10|United Kingdom|United Kingdom|Europe
